source_AGI,target_AGI,type,n_mentions,pubmedID,source_symbol,target_symbol
AT2G38470,AT2G30770,GRN_activates,10,31611892,WRKY33,CYP71A13
AT5G59820,AT1G07890,GRN_activates,10,35009000,ZAT12,APX1
AT2G45660,AT1G69120,GRN_activates,10,26904066,SOC1,AP1
AT2G43060,AT2G18300,GRN_represses,10,24667992,IBH1,
AT5G39610,AT4G13250,GRN_activates,10,34777451,NAC92,NYC1
AT2G42200,AT4G25470,GRN_activates,10,35109794,SPL9,DREB1C
AT5G12870,AT4G18780,GRN_activates,10,31191566,MYB46,CESA8
AT5G12870,AT1G32770,GRN_regulates,9,29973639,MYB46,NAC012
AT4G28500,AT4G18780,GRN_activates,9,28720072,NAC073,CESA8
AT4G17615,AT2G26650,GRN_activates,9,36690625,CBL1,AKT1
AT3G54500,AT5G24470,GRN_activates,9,24592314,,APRR5
AT2G30250,AT4G23810,GRN_activates,9,32038695,WRKY25,WRKY53
AT1G32640,AT5G25610,GRN_activates,9,24744238,MYC2,RD22
AT1G69120,AT2G45660,GRN_represses,9,27965680,AP1,SOC1
AT2G36270,AT1G18100,GRN_activates,9,31002698,ABI5,MFT
AT1G32640,AT1G52890,GRN_activates,9,23382734,MYC2,NAC019
AT1G32640,AT3G15500,GRN_activates,9,23382734,MYC2,NAC055
AT1G18100,AT2G36270,GRN_represses,9,26873978,MFT,ABI5
AT1G69120,AT3G54340,GRN_activates,9,37216511,AP1,AP3
AT4G25470,AT4G25490,GRN_represses,9,37674317,DREB1C,DREB1B
AT2G18300,AT1G74670,GRN_activates,9,33963401,,GASA6
AT3G59060,AT2G36270,GRN_activates,9,34777451,PIF5,ABI5
AT1G69490,AT5G59220,GRN_activates,9,23066145,NAC029,SAG113
AT2G46830,AT5G44190,GRN_activates,9,33830198,CCA1,GLK2
AT5G12870,AT5G44030,GRN_activates,9,31191566,MYB46,CESA4
AT5G59320,AT5G62470,GRN_activates,8,34484262,LTP3,MYB96
AT4G09820,AT5G42800,GRN_activates,8,27790239,TT8,DFRA
AT4G37930,AT4G08150,GRN_activates,8,24776954,SHM1,KNAT1
AT3G24650,AT1G18100,GRN_represses,8,31002698,ABI3,MFT
AT1G06770,AT5G05410,GRN_regulates,8,28955347,DRIP1,DREB2A
AT1G69120,AT4G24540,GRN_represses,8,32220954,AP1,AGL24
AT2G38470,AT3G14230,GRN_activates,8,34030628,WRKY33,RAP2-2
AT4G28520,AT5G46700,GRN_represses,8,34828269,CRC,TRN2
AT2G45190,AT5G60910,GRN_activates,7,23133401,YAB1,AGL8
AT1G32640,AT1G06160,GRN_represses,7,22645537,MYC2,ERF094
AT1G04240,AT1G73590,GRN_represses,7,34134976,SHY2,PIN1
AT5G22500,AT4G39800,GRN_activates,7,32647331,FAR1,IPS1
AT2G42200,AT2G45660,GRN_activates,7,27541584,SPL9,SOC1
AT4G36540,AT1G74670,GRN_activates,7,33963401,BEE2,GASA6
AT3G51770,AT5G36880,GRN_represses,7,24836325,ETO1,ACS
AT5G20720,AT1G80840,GRN_regulates,7,23783410,CPN20,WRKY40
AT1G71030,AT5G42800,GRN_represses,7,29104579,ATMYBL2,DFRA
AT3G54610,AT5G03545,GRN_activates,7,31401648,HAG1,AT4
AT2G38470,AT5G27420,GRN_activates,7,34618142,WRKY33,ATL31
AT1G19850,AT1G73590,GRN_activates,7,37450945,ARF5,PIN1
AT5G39610,AT1G11190,GRN_activates,7,35409227,NAC92,ENDO1
AT3G24650,AT5G54070,GRN_activates,7,35986244,ABI3,HSFA9
AT1G69690,AT1G75040,GRN_activates,7,30154809,TCP15,PR5
AT2G21650,AT2G36270,GRN_activates,7,30566447,RL2,ABI5
AT1G77300,AT3G47340,GRN_represses,7,18387196,EFS,ASN1
AT3G24650,AT1G03790,GRN_activates,7,36092418,ABI3,SOM
AT2G44745,AT3G61910,GRN_regulates,6,28720072,WRKY12,NAC066
AT4G38130,AT2G46830,GRN_represses,6,28345627,HDA19,CCA1
AT1G45249,AT1G05100,GRN_activates,6,36841482,ABF2,MAPKKK18
AT4G38130,AT1G21970,GRN_regulates,6,35269485,HDA19,NFYB9
AT4G00180,AT5G60910,GRN_activates,6,23133401,YAB3,AGL8
AT5G63110,AT5G52310,GRN_represses,6,26666962,HDA6,RD29A
AT2G17890,AT4G25590,GRN_activates,6,37011088,CPK16,ADF7
AT4G28500,AT1G32770,GRN_activates,6,23815750,NAC073,NAC012
AT2G40170,AT2G36270,GRN_represses,6,33537040,EM6,ABI5
AT2G46400,AT1G08430,GRN_represses,6,35958220,WRKY46,ALMT1
AT2G41940,AT3G54340,GRN_represses,6,37216511,ZFP8,AP3
AT2G45660,AT4G24540,GRN_activates,6,37111878,SOC1,AGL24
AT3G59060,AT4G32280,GRN_regulates,6,25600997,PIF5,IAA29
AT1G52890,AT5G51070,GRN_activates,6,34398879,NAC019,CLPD
AT2G22770,AT3G09260,GRN_activates,6,23155454,NAI1,BGLU23
AT5G12870,AT1G62990,GRN_activates,6,31623554,MYB46,KNAT7
AT1G47710,AT1G47128,GRN_represses,6,22396764,,RD21A
AT3G54610,AT5G57800,GRN_activates,6,29506042,HAG1,CER3
AT1G32770,AT1G62990,GRN_activates,6,22639662,NAC012,KNAT7
AT2G22670,AT3G24650,GRN_represses,6,32153614,IAA8,ABI3
AT3G01310,AT2G14610,GRN_activates,6,31199821,,PR1
AT1G32640,AT3G50310,GRN_activates,6,36818282,MYC2,MAPKKK20
AT1G32640,AT1G29930,GRN_represses,6,23646119,MYC2,LHCB1.3
AT1G30330,AT5G37020,GRN_activates,6,34575927,ARF6,ARF8
AT5G48850,AT5G61420,GRN_represses,6,34618078,SDI1,MYB28
AT2G22300,AT5G26920,GRN_represses,6,26973658,CAMTA3,CBP60G
AT2G05520,AT1G21250,GRN_activates,6,26748394,GRP3,WAK1
AT5G22500,AT2G36270,GRN_activates,6,24586210,FAR1,ABI5
AT2G25000,AT1G80840,GRN_activates,6,21167067,WRKY60,WRKY40
AT1G19850,AT5G43810,GRN_activates,6,37450945,ARF5,AGO10
AT1G56650,AT5G13930,GRN_activates,6,32552683,MYB75,CHS
AT2G33810,AT2G45660,GRN_activates,6,32157303,SPL3,SOC1
AT1G47710,AT5G04200,GRN_represses,6,36769030,,AMC9
AT2G47190,AT5G50260,GRN_activates,6,35408924,ATMYB2,CEP1
AT5G62470,AT5G59320,GRN_regulates,6,27933075,MYB96,LTP3
AT4G23810,AT5G27420,GRN_activates,6,29453355,WRKY53,ATL31
AT1G34180,AT4G22920,GRN_activates,6,27021284,anac016,SGR1
AT5G12870,AT5G03760,GRN_activates,5,25535195,MYB46,CSLA9
AT3G13890,AT2G46770,GRN_activates,5,33332564,MYB26,NAC043
AT3G13890,AT3G61910,GRN_activates,5,33332564,MYB26,NAC066
AT3G24650,AT1G21970,GRN_represses,5,35845633,ABI3,NFYB9
AT3G51300,AT1G04450,GRN_activates,5,15824136,ARAC11,RIC3
AT5G61420,AT5G07690,GRN_activates,5,26029237,MYB28,MYB29
AT4G25490,AT2G42540,GRN_activates,5,35163716,DREB1B,COR15A
AT1G62300,AT1G13260,GRN_represses,5,26829043,WRKY6,RAV1
AT3G10520,AT1G32640,GRN_represses,5,28199692,AHB2,MYC2
AT3G10520,AT1G73590,GRN_activates,5,28199692,AHB2,PIN1
AT5G13080,AT1G06160,GRN_activates,5,33165597,WRKY75,ERF094
AT5G57620,AT5G42180,GRN_activates,5,33986765,MYB36,PER64
AT1G34180,AT1G45249,GRN_represses,5,28640975,anac016,ABF2
AT2G47190,AT5G25610,GRN_activates,5,34398879,ATMYB2,RD22
AT1G13980,AT1G70940,GRN_regulates,5,28798760,GN,PIN3
AT4G25490,AT4G25470,GRN_represses,5,37674317,DREB1B,DREB1C
AT1G64860,ATCG00350,GRN_represses,5,31639823,SIGA,PSAA
AT4G34590,AT3G47340,GRN_activates,5,29938110,BZIP11,ASN1
AT2G42200,AT1G02205,GRN_activates,5,35147189,SPL9,CER1
AT2G36270,AT5G39610,GRN_activates,5,36617439,ABI5,NAC92
AT2G13810,AT2G14610,GRN_activates,5,32582226,ALD1,PR1
AT5G60910,AT2G42830,GRN_represses,5,27776173,AGL8,SHP2
AT2G22300,AT4G25470,GRN_activates,5,35960653,CAMTA3,DREB1C
AT1G53160,AT5G60910,GRN_activates,5,30165491,SPL4,AGL8
AT1G53160,AT1G69120,GRN_activates,5,30165491,SPL4,AP1
AT3G24650,AT4G22920,GRN_activates,5,35318532,ABI3,SGR1
AT2G38470,AT1G08430,GRN_represses,5,34502184,WRKY33,ALMT1
AT1G56650,AT5G42800,GRN_activates,5,32552683,MYB75,DFRA
AT5G64770,AT5G63580,GRN_activates,5,35229426,RGF9,FLS2
AT2G42200,AT1G69120,GRN_activates,5,31905863,SPL9,AP1
AT2G45660,AT2G33810,GRN_regulates,5,31905863,SOC1,SPL3
AT3G44680,AT4G23810,GRN_represses,5,32687569,HDA9,WRKY53
AT5G10510,AT3G54340,GRN_activates,5,34013313,AIL6,AP3
AT1G19850,AT1G26945,GRN_activates,5,29114256,ARF5,PRE6
AT1G18570,AT4G39950,GRN_activates,5,32082343,MYB51,CYP79B2
AT5G17800,AT1G61800,GRN_regulates,5,29487277,MYB56,GPT2
AT2G36270,AT4G13250,GRN_activates,5,34579353,ABI5,NYC1
AT3G01480,AT3G50820,GRN_represses,5,26483802,CYP38,PSBO2
AT2G46680,AT3G61890,GRN_represses,5,24884528,ATHB-7,ATHB-12
AT3G56400,AT1G73805,GRN_regulates,5,29076543,WRKY70,SARD1
AT5G12870,AT4G22680,GRN_activates,4,31245671,MYB46,MYB85
AT4G27410,AT5G51070,GRN_activates,4,36710321,RD26,CLPD
AT5G24470,AT3G59060,GRN_represses,4,33138078,APRR5,PIF5
AT2G30250,AT2G38470,GRN_activates,4,32038695,WRKY25,WRKY33
AT2G26490,AT3G51300,GRN_represses,4,29968705,JGB,ARAC11
AT5G39860,AT2G43060,GRN_represses,4,33276448,PRE1,IBH1
AT4G23810,AT5G45890,GRN_activates,4,30120651,WRKY53,SAG12
AT3G54230,AT3G24650,GRN_regulates,4,25268622,SUA,ABI3
AT5G44610,AT1G45249,GRN_regulates,4,29568301,PCAP2,ABF2
AT1G25250,AT1G73590,GRN_activates,4,32498388,AtIDD16,PIN1
AT5G05410,AT5G52310,GRN_activates,4,20519338,DREB2A,RD29A
AT1G32640,AT5G24770,GRN_activates,4,22645537,MYC2,VSP2
AT5G57620,AT1G44970,GRN_activates,4,33986765,MYB36,PER9
AT2G07040,AT3G51300,GRN_activates,4,32131749,PRK2,ARAC11
AT2G46830,AT1G68050,GRN_represses,4,25600997,CCA1,ADO3
AT2G46830,AT3G59060,GRN_activates,4,25600997,CCA1,PIF5
AT1G19850,AT1G19050,GRN_represses,4,35909730,ARF5,ARR7
AT5G60910,AT1G69120,GRN_represses,4,26697035,AGL8,AP1
AT3G62410,AT1G32060,GRN_activates,4,28430985,CP12-2,PRK
AT1G32770,AT3G08500,GRN_activates,4,24009617,NAC012,MYB83
AT1G36060,AT1G03790,GRN_activates,4,36617439,ERF055,SOM
AT5G62470,AT1G01120,GRN_activates,4,29506042,MYB96,KCS1
AT5G62470,AT5G57800,GRN_activates,4,29506042,MYB96,CER3
AT1G77300,AT5G57800,GRN_regulates,4,29506042,EFS,CER3
AT5G57800,AT3G54610,GRN_activates,4,29506042,CER3,HAG1
AT1G71030,AT4G22880,GRN_represses,4,29104579,ATMYBL2,LDOX
AT3G59060,AT5G36880,GRN_activates,4,30477118,PIF5,ACS
AT3G59060,AT4G22920,GRN_regulates,4,32508856,PIF5,SGR1
AT1G71030,AT5G13930,GRN_activates,4,34201713,ATMYBL2,CHS
AT2G30520,AT5G64330,GRN_regulates,4,30941890,RPT2,RPT3
AT1G32640,AT5G13170,GRN_activates,4,33391323,MYC2,SWEET15
AT2G38470,AT1G06160,GRN_activates,4,29513733,WRKY33,ERF094
AT1G80840,AT2G30770,GRN_represses,4,23516362,WRKY40,CYP71A13
AT2G38470,AT5G17330,GRN_activates,4,32458527,WRKY33,GAD1
AT5G27420,AT1G27730,GRN_represses,4,34618142,ATL31,ZAT10
AT1G06230,AT2G06050,GRN_represses,4,37626962,GTE4,OPR3
AT3G51810,AT2G36270,GRN_represses,4,28391398,EM1,ABI5
AT2G38470,AT3G14440,GRN_represses,4,38274648,WRKY33,NCED3
AT3G14230,AT2G38470,GRN_activates,4,35628120,RAP2-2,WRKY33
AT2G45660,AT1G53160,GRN_represses,4,31905863,SOC1,SPL4
AT3G20810,AT2G46830,GRN_activates,4,30833956,JMJ30,CCA1
AT4G16890,AT4G14400,GRN_regulates,4,30235212,SNC1,ACD6
AT1G56650,AT3G51240,GRN_activates,4,28959020,MYB75,F3H
AT4G00870,AT5G13170,GRN_represses,4,32296455,BHLH14,SWEET15
AT1G65970,AT4G32830,GRN_activates,4,32235723,PRXIIC,AUR1
AT1G72290,AT1G47128,GRN_represses,4,27625656,WSCP,RD21A
AT2G47190,AT1G77120,GRN_activates,4,22194941,ATMYB2,ADH1
AT2G36270,AT5G66400,GRN_activates,4,24163287,ABI5,RAB18
AT4G09960,AT5G18000,GRN_activates,4,32435255,STK,VDD
AT5G13080,AT2G20570,GRN_represses,4,34435636,WRKY75,GPRI1
AT3G44750,AT1G30040,GRN_represses,4,33744928,HDT1,GA2OX2
AT5G37020,AT1G26945,GRN_activates,4,29114256,ARF8,PRE6
AT5G13790,AT1G02400,GRN_activates,4,38235196,AGL15,GA2OX6
AT1G27730,AT5G04950,GRN_activates,4,36110357,ZAT10,NAS1
AT1G18570,AT2G22330,GRN_activates,4,32082343,MYB51,CYP79B3
AT5G24770,AT5G63110,GRN_represses,4,28496451,VSP2,HDA6
AT1G32640,AT5G63110,GRN_represses,4,28496451,MYC2,HDA6
AT3G52450,AT1G07000,GRN_activates,4,35310669,PUB22,ATEXO70B2
AT5G37020,AT1G30330,GRN_activates,4,27444058,ARF8,ARF6
AT4G09960,AT5G21150,GRN_activates,4,36379956,STK,AGO9
AT1G02900,AT3G62680,GRN_activates,4,24620000,RALF1,PRP3
AT5G43810,AT4G37930,GRN_activates,4,33232670,AGO10,SHM1
AT1G32060,AT3G62410,GRN_activates,4,35413120,PRK,CP12-2
AT1G02900,AT3G51800,GRN_activates,4,30339663,RALF1,ATG2
AT2G36270,AT3G02480,GRN_represses,4,32041112,ABI5,
AT4G09960,AT2G36270,GRN_activates,4,35261232,STK,ABI5
AT3G08500,AT4G22680,GRN_regulates,3,31245671,MYB83,MYB85
AT4G13540,AT2G46770,GRN_represses,3,30911018,,NAC043
AT2G26980,AT5G64750,GRN_activates,3,29225607,CIPK3,ABR1
AT5G39860,AT2G18300,GRN_activates,3,33276448,PRE1,
AT5G44610,AT4G25490,GRN_represses,3,29568301,PCAP2,DREB1B
AT5G44610,AT5G52310,GRN_represses,3,29568301,PCAP2,RD29A
AT5G44610,AT5G15960,GRN_represses,3,29568301,PCAP2,KIN1
AT5G44610,AT5G15970,GRN_represses,3,29568301,PCAP2,KIN2
AT5G65410,AT4G37930,GRN_activates,3,32668199,ZHD1,SHM1
AT5G26920,AT5G13930,GRN_represses,3,28253311,CBP60G,CHS
AT5G26920,AT5G42800,GRN_represses,3,28253311,CBP60G,DFRA
AT5G26920,AT5G17220,GRN_activates,3,28253311,CBP60G,GSTF12
AT5G67420,AT4G29080,GRN_represses,3,27790239,LBD37,IAA27
AT3G49940,AT4G29080,GRN_represses,3,27790239,LBD38,IAA27
AT4G37540,AT4G29080,GRN_represses,3,27790239,LBD39,IAA27
AT2G22770,AT4G27860,GRN_activates,3,37346116,NAI1,
AT4G27410,AT4G22920,GRN_activates,3,35684264,RD26,SGR1
AT3G14440,AT3G18520,GRN_activates,3,37631162,NCED3,HDA15
AT5G63110,AT4G08150,GRN_represses,3,36828846,HDA6,KNAT1
AT5G63110,AT1G23800,GRN_represses,3,29777132,HDA6,ALDH2B7
AT5G63110,AT4G33070,GRN_represses,3,29777132,HDA6,PDC1
AT5G63110,AT2G46830,GRN_represses,3,30124938,HDA6,CCA1
AT1G13260,AT1G62300,GRN_represses,3,26829043,RAV1,WRKY6
AT3G24650,AT1G62300,GRN_represses,3,26829043,ABI3,WRKY6
AT2G36270,AT1G62300,GRN_represses,3,26829043,ABI5,WRKY6
AT5G39610,AT5G45890,GRN_activates,3,35371171,NAC92,SAG12
AT1G32640,AT3G45140,GRN_represses,3,30046236,MYC2,LOX2
AT4G34590,AT1G04240,GRN_regulates,3,28158182,BZIP11,SHY2
AT1G04240,AT1G70940,GRN_represses,3,34134976,SHY2,PIN3
AT5G61420,AT5G23020,GRN_activates,3,23580754,MYB28,MAM3
AT5G61420,AT1G16410,GRN_activates,3,23580754,MYB28,CYP79F1
AT5G61420,AT1G16400,GRN_activates,3,23580754,MYB28,CYP79F2
AT1G34180,AT1G69490,GRN_activates,3,28640975,anac016,NAC029
AT2G46830,AT4G25490,GRN_activates,3,26522658,CCA1,DREB1B
AT2G46830,AT4G25470,GRN_activates,3,26522658,CCA1,DREB1C
AT3G48100,AT2G36270,GRN_represses,3,34065034,ARR5,ABI5
AT5G62920,AT2G36270,GRN_represses,3,34065034,ARR6,ABI5
AT5G67420,AT1G12110,GRN_represses,3,36902075,LBD37,NPF6.3
AT1G37130,AT1G77760,GRN_activates,3,26306170,NIA2,NIA1
AT1G28480,AT1G06160,GRN_represses,3,33617121,GRXC9,ERF094
AT1G06160,AT1G32640,GRN_represses,3,33617121,ERF094,MYC2
AT1G52890,AT3G11480,GRN_activates,3,33617121,NAC019,BSMT1
AT3G15500,AT3G11480,GRN_activates,3,33617121,NAC055,BSMT1
AT5G12870,AT5G54690,GRN_activates,3,35154217,MYB46,GAUT12
AT1G62300,AT3G23430,GRN_represses,3,22952851,WRKY6,PHO1
AT1G27730,AT5G52310,GRN_represses,3,31466344,ZAT10,RD29A
AT1G69120,AT2G41940,GRN_represses,3,37216511,AP1,ZFP8
AT5G12870,AT5G16600,GRN_activates,3,24885077,MYB46,MYB43
AT1G80840,AT3G22370,GRN_regulates,3,29497438,WRKY40,AOX1A
AT3G15500,AT5G51070,GRN_activates,3,34398879,NAC055,CLPD
AT5G06960,AT2G29420,GRN_activates,3,34599589,TGA5,GSTU7
AT5G55390,AT4G16860,GRN_activates,3,32925902,EDM2,RPP4
AT3G54340,AT4G28520,GRN_regulates,3,36477345,AP3,CRC
AT4G24470,AT1G32640,GRN_represses,3,34865154,ZIM,MYC2
AT5G12870,AT1G17950,GRN_regulates,3,24009617,MYB46,MYB52
AT1G32770,AT4G36220,GRN_activates,3,24009617,NAC012,CYP84A1
AT3G54610,AT4G13840,GRN_regulates,3,29506042,HAG1,CER26
AT5G62470,AT1G04220,GRN_activates,3,29506042,MYB96,KCS2
AT5G62470,AT1G68530,GRN_activates,3,29506042,MYB96,CUT1
AT3G54610,AT2G29980,GRN_regulates,3,29506042,HAG1,FAD3
AT3G52430,AT2G14610,GRN_activates,3,32582226,PAD4,PR1
AT5G13790,AT1G21970,GRN_activates,3,33924312,AGL15,NFYB9
AT5G13790,AT3G24650,GRN_activates,3,33924312,AGL15,ABI3
AT5G13790,AT2G42830,GRN_activates,3,33924312,AGL15,SHP2
AT5G13790,AT3G54340,GRN_activates,3,33924312,AGL15,AP3
AT3G56710,AT2G38470,GRN_activates,3,30786857,SIB1,WRKY33
AT5G22500,AT2G46830,GRN_activates,3,34733306,FAR1,CCA1
AT3G59060,AT2G46830,GRN_represses,3,34733306,PIF5,CCA1
AT2G22670,AT2G36270,GRN_represses,3,32153614,IAA8,ABI5
AT2G14610,AT5G64570,GRN_regulates,3,36816482,PR1,BXL4
AT4G18170,AT5G13320,GRN_represses,3,36909399,WRKY28,PBS3
AT2G22300,AT4G25490,GRN_activates,3,35302643,CAMTA3,DREB1B
AT3G44680,AT4G16890,GRN_represses,3,31854111,HDA9,SNC1
AT2G40750,AT3G56400,GRN_activates,3,36945518,WRKY54,WRKY70
AT3G24650,AT4G11910,GRN_activates,3,35318532,ABI3,SGR2
AT2G38470,AT1G27730,GRN_activates,3,34618142,WRKY33,ZAT10
AT3G56400,AT2G40750,GRN_activates,3,19772648,WRKY70,WRKY54
AT3G19040,AT5G24470,GRN_activates,3,37626962,TAF1,APRR5
AT1G34180,AT3G29035,GRN_activates,3,24659488,anac016,NAC59
AT5G39610,AT5G13180,GRN_activates,3,24659488,NAC92,NAC083
AT1G69490,AT5G13180,GRN_activates,3,24659488,NAC029,NAC083
AT4G21210,AT4G15530,GRN_regulates,3,27349915,RP1,PPDK
AT3G59060,AT4G14130,GRN_activates,3,24420574,PIF5,XTH15
AT3G10930,AT5G59820,GRN_represses,3,28586470,,ZAT12
AT1G16880,AT5G35630,GRN_activates,3,30087396,ACR11,GLN2
AT1G19850,AT4G37930,GRN_activates,3,37450945,ARF5,SHM1
AT2G36270,AT3G24650,GRN_activates,3,25852712,ABI5,ABI3
AT5G60910,AT5G67110,GRN_regulates,3,25018763,AGL8,ALC
AT1G56650,AT4G22880,GRN_activates,3,32552683,MYB75,LDOX
AT2G20570,AT1G68520,GRN_activates,3,36597356,GPRI1,COL6
AT5G65410,AT1G49430,GRN_activates,3,35270067,ZHD1,LACS2
AT2G26190,AT2G36270,GRN_represses,3,29951071,IQM4,ABI5
AT1G62710,AT5G50260,GRN_activates,3,31858133,bVPE,CEP1
AT5G22500,AT2G33810,GRN_represses,3,38261843,FAR1,SPL3
AT5G22500,AT1G53160,GRN_represses,3,38261843,FAR1,SPL4
AT5G04140,AT1G12110,GRN_activates,3,20307264,GLU1,NPF6.3
AT1G32770,AT4G28500,GRN_regulates,3,34162988,NAC012,NAC073
AT1G32770,AT1G28470,GRN_activates,3,34162988,NAC012,NAC010
AT1G32770,AT5G16600,GRN_regulates,3,34162988,NAC012,MYB43
AT3G54610,AT1G73590,GRN_activates,3,36559684,HAG1,PIN1
AT5G24860,AT1G69120,GRN_activates,3,24626476,FPF1,AP1
AT2G42200,AT5G60910,GRN_activates,3,31905863,SPL9,AGL8
AT1G27360,AT5G60910,GRN_activates,3,31905863,SPL11,AGL8
AT3G47500,AT1G53310,GRN_regulates,3,33329669,CDF3,PPC1
AT5G13080,AT5G43350,GRN_activates,3,35216388,WRKY75,PHT1-1
AT3G01970,AT5G43350,GRN_activates,3,35216388,WRKY45,PHT1-1
AT1G32640,AT4G24470,GRN_represses,3,36771705,MYC2,ZIM
AT5G20150,AT2G38940,GRN_represses,3,26557133,SPX1,PHT1-4
AT3G25250,AT2G13810,GRN_activates,3,36319610,OXI1,ALD1
AT1G65450,AT5G66400,GRN_activates,3,18278579,,RAB18
AT2G21045,AT1G33760,GRN_regulates,3,36142359,HAC1,ERF022
AT5G22500,AT1G69120,GRN_represses,3,33997550,FAR1,AP1
AT5G22500,AT5G60910,GRN_represses,3,33997550,FAR1,AGL8
AT3G16770,AT1G30330,GRN_represses,3,29897568,RAP2-3,ARF6
AT3G16770,AT4G37800,GRN_activates,3,29897568,RAP2-3,XTH7
AT5G24470,AT3G51810,GRN_activates,3,34152411,APRR5,EM1
AT5G24470,AT2G40170,GRN_activates,3,34152411,APRR5,EM6
AT4G23810,AT1G17420,GRN_represses,3,35887066,WRKY53,LOX3
AT5G13080,AT5G44190,GRN_represses,3,34435636,WRKY75,GLK2
AT2G45660,AT4G23810,GRN_activates,3,37176133,SOC1,WRKY53
AT4G23810,AT2G45660,GRN_activates,3,37176133,WRKY53,SOC1
AT5G64900,AT1G75040,GRN_activates,3,35164659,PEP1,PR5
AT5G64900,AT5G59820,GRN_activates,3,35164659,PEP1,ZAT12
AT4G09820,AT4G22880,GRN_regulates,3,30603098,TT8,LDOX
AT1G11190,AT5G39610,GRN_regulates,3,25532107,ENDO1,NAC92
AT1G09540,AT1G62990,GRN_regulates,3,35214825,MYB61,KNAT7
AT1G77300,AT2G41100,GRN_represses,3,25374573,EFS,CML12
AT1G64860,AT1G29910,GRN_represses,3,24078666,SIGA,LHCB1.1
AT1G18570,AT4G31500,GRN_activates,3,32082343,MYB51,CYP83B1
AT2G38470,AT4G39950,GRN_activates,3,32082343,WRKY33,CYP79B2
AT1G18370,AT5G56580,GRN_activates,3,20802223,KIN7A,MKK6
AT4G20360,AT2G30950,GRN_represses,3,30915096,TUFA,VAR2
AT3G25610,AT4G31780,GRN_activates,3,32760418,ALA10,MGD1
AT3G24650,AT3G20810,GRN_activates,3,33324437,ABI3,JMJ30
AT1G02900,AT5G57560,GRN_activates,3,24620000,RALF1,XTH22
AT1G77300,AT5G44870,GRN_regulates,3,20949080,EFS,LAZ5
AT2G45660,AT5G50790,GRN_activates,3,32013867,SOC1,SWEET10
AT4G09820,AT1G21970,GRN_represses,3,28270825,TT8,NFYB9
AT1G75710,AT4G34160,GRN_represses,3,34615886,,CYCD3-1
AT1G79680,AT5G39610,GRN_represses,3,34063046,WAKL10,NAC92
AT3G51800,AT1G02900,GRN_represses,3,30339663,ATG2,RALF1
AT3G29030,AT1G02900,GRN_represses,3,29028796,EXPA5,RALF1
AT2G36270,AT5G13800,GRN_activates,3,34579353,ABI5,PPH
AT5G64900,AT1G18570,GRN_activates,3,34764230,PEP1,MYB51
AT2G36270,AT2G42540,GRN_regulates,3,35216467,ABI5,COR15A
AT4G38130,AT2G36270,GRN_activates,3,31681394,HDA19,ABI5
AT4G17460,AT3G14440,GRN_represses,3,30558150,HAT1,NCED3
AT4G38130,AT5G22570,GRN_represses,3,34991465,HDA19,WRKY38
AT4G38130,AT5G01900,GRN_represses,3,34991465,HDA19,WRKY62
AT4G38130,AT2G14610,GRN_regulates,3,34991465,HDA19,PR1
